DIVA;PlatformText;Municipality;MunicipalityID;Longitude;Latitude
60200320;Dammhaufengasse;Wien;90001;16.4472366;48.1956502
60200321;Pfarrgasse/Traviatagasse;Wien;90001;16.3431757;48.1425924
60200322;Zimbagasse;Wien;90001;16.2192262;48.2061582
60200323;Auhof;Wien;90001;16.2182021;48.2075651
60200324;1. Haidequerstraße Süd;Wien;90001;16.4281384;48.1809174
60200325;Giefinggasse;Wien;90001;16.4259106;48.2683058
60200327;Rodaun Wohnheim;Wien;90001;16.2289729;48.1272568
60200328;Heinrich-von-Buol-Gasse;Wien;90001;16.425704;48.2649511
60200329;Fischergrund;Wien;90001;16.4408855;48.2155208
60200330;Fichtnergasse;Wien;90001;16.2888816;48.1871225
60200331;Florian-Geyer-Gasse;Wien;90001;16.3918015;48.1569347
60200332;Florian-Hedorfer-Straße;Wien;90001;16.4312555;48.1656172
60200333;Florianigasse;Wien;90001;16.345682;48.2127912
60200334;Floridsdorf;Wien;90001;16.4002996;48.2567938
60200335;Joseph-Lister-Gasse;Wien;90001;16.2695318;48.175143
60200336;Flotowgasse;Wien;90001;16.3383608;48.2405889
60200337;Flugfeldstraße;Wien;90001;16.5043335;48.2156584
60200338;Flötzersteig;Wien;90001;16.2788564;48.2038353
60200339;Flötzersteigbrücke;Wien;90001;16.290777;48.2071879
60200340;Mauerbachstraße/Baumschule;Wien;90001;16.2178967;48.2181245
60200341;Forsthausgasse;Wien;90001;16.3749851;48.2452374
60200342;Frachtenbahnhof Lobau Hafen;Wien;90001;16.4776356;48.1864218
60200343;Franz-Asenbauer-Gasse;Wien;90001;16.2712746;48.1547414
60200344;Franz-Josef-Spital;Wien;90001;16.348889;48.1749153
60200345;Franz-Josefs-Bahnhof;Wien;90001;16.361151;48.2259888
60200346;Krankenanstalt Rudolfstiftung;Wien;90001;16.3922866;48.1966203
60200347;Franz-Pletersky-Weg;Wien;90001;16.4506232;48.2132701
60200348;Franzensbrücke;Wien;90001;16.3917297;48.2137909
60200349;Franzosenweg;Wien;90001;16.3827914;48.1401527
60200350;Forchheimergasse;Wien;90001;16.3078091;48.1409559
60200351;Freesienweg;Wien;90001;16.2426273;48.2045896
60200352;Freiheitsplatz;Wien;90001;16.4162447;48.3014339
60200353;Freihofsiedlung;Wien;90001;16.4502729;48.2425273
60200354;Kraftwerk Freudenau;Wien;90001;16.4791357;48.1744241
60200355;Freyenthurmgasse;Wien;90001;16.2567937;48.2054398
60200357;Friedensbrücke;Wien;90001;16.364879;48.2270301
60200358;Baumgarten;Wien;90001;16.2712;48.1990633
60200359;Friedensgasse;Wien;90001;16.4024645;48.2032545
60200360;Mariabrunn Kirche;Wien;90001;16.2314163;48.2077327
60200361;Friedjunggasse;Wien;90001;16.4191283;48.1652218
60200362;Obkirchergasse;Wien;90001;16.3421337;48.2457339
60200363;Friedrich-Engels-Platz;Wien;90001;16.3797282;48.2442742
60200364;Friedstraße;Wien;90001;16.4046385;48.2454408
60200365;Frödenplatz;Wien;90001;16.3586537;48.1553047
60200366;Frömmlgasse;Wien;90001;16.3921249;48.2562495
60200367;Fröschelgasse;Wien;90001;16.3205202;48.2519311
60200368;Flurschützstr./Längenfeldgasse;Wien;90001;16.3400676;48.1793541
60200369;Fultonstraße;Wien;90001;16.4140438;48.2532171
60200370;Funkengerngasse;Wien;90001;16.293436;48.2153831
60200371;Seegasse;Wien;90001;16.3613936;48.2230682
60200372;Ottakringer Friedhof;Wien;90001;16.3015208;48.2140782
60200373;Kaltenleutgebner Straße 10/63;Wien;90001;16.2463194;48.1318256
60200374;Altes Gasthaus Maut;Wien;90001;16.2328806;48.1290855
60200375;Gasthaus Zum Friedhof;Wien;90001;16.4332139;48.2964559
60200376;Gatterburggasse;Wien;90001;16.3492304;48.2392009
60200377;Gattergasse;Wien;90001;16.4225509;48.1605121
60200378;Gatterhölzl;Wien;90001;16.3187595;48.1758798
60200379;Gaudenzdorfer Gürtel;Wien;90001;16.3430949;48.1872423
60200380;Gaußplatz;Wien;90001;16.3699096;48.226282
60200381;Gaßmannstraße;Wien;90001;16.3133427;48.1747715
60200382;Geiereckstraße;Wien;90001;16.3992216;48.1750351
60200383;Geistingergasse;Wien;90001;16.36275;48.245369
60200384;Gellertplatz;Wien;90001;16.3826387;48.1750112
60200385;Gemeindeberggasse;Wien;90001;16.2648606;48.181181
60200386;General-Motors-Werk;Wien;90001;16.5031297;48.2177115
60200387;Genochplatz;Wien;90001;16.4557975;48.2291605
60200388;Brünner Str./Hanreitergasse;Wien;90001;16.4130108;48.2841432
60200389;Gerhardusgasse;Wien;90001;16.3662534;48.2316977
60200390;Geringergasse;Wien;90001;16.4259645;48.1680018
60200391;Gernotgasse;Wien;90001;16.5330436;48.2197405
60200392;Geroldgasse;Wien;90001;16.2835905;48.2390633
60200393;Gersthof;Wien;90001;16.3291171;48.2311591
60200394;Ehrenpreisgasse;Wien;90001;16.4611425;48.2180706
60200395;Gersthofer Friedhof;Wien;90001;16.3161993;48.2299743
60200396;Getreidemarkt;Wien;90001;16.3629297;48.2018116
